2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:04:18,108 [36] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: ListView with id 'lvData' must have a data source that either implements ICollection or can perform data source paging if AllowPaging is true.
2016-11-25 10:05:05,814 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\YKCD.Province.Business\Services\DocumentServices.cs; Line Number: 28 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\VanBan_DongBo.aspx.cs; Line Number: 29 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\YKCD.Province.Application\Province\VanBan_DongBo.aspx.cs; Line Number: 28 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\Framework\Web\ListViewPageBase.cs; Line Number: 125 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: D:\Projects\YKCD\Framework\Web\ListViewPageBase.cs; Line Number: 31 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Sequence contains more than one element
2016-11-25 10:05:05,826 [44] ERROR /Province/VanBan_DongBo.aspx - FileName: ; Line Number: 0 ;Message: Sequence contains more than one element
2016-11-25 10:48:50,058 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:48:50,075 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:48:50,075 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:48:50,075 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:48:50,076 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
2016-11-25 10:48:50,076 [28] ERROR /Province/VanBan_QuanLy.aspx?vbdhCode=99A9159F-29DA-4E1C-9291-AE3A24438A3C - FileName: ; Line Number: 0 ;Message: Thread was being aborted.
